energy_function,model_name,energy,time,num_cg_modes,lr,lr_cg,clamp_grads,patience,min_delta,cg_patience,cg_min_delta,cg_steps,cg_time,cg_energy,hidden_dims,x0_std,num_nodes
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.02328168973326683,33.6710729598999,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,929.0,22.0535626411438,-0.023106170818209648,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0018363532144576311,29.159785509109497,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,1171.0,22.971839666366577,0.0006913522956892848,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.02324608527123928,22.839732885360718,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.023132672533392906,25.809059381484985,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,933.0,22.38568639755249,-0.02300199866294861,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0018608728423714638,33.59436392784119,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,1282.0,24.734986066818237,-0.0003272609901614487,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.02323010005056858,22.968848943710327,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,0.019628239795565605,28.443867444992065,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,789.0,19.43610906600952,0.02002166584134102,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0018187689129263163,25.249816179275513,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,1129.0,21.834352254867554,-0.0008596846018917859,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023227211087942123,22.41767930984497,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,0.04110073670744896,25.044631958007812,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,786.0,18.882390022277832,0.04150567203760147,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.001858011120930314,31.235719919204712,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,970.0,19.105970859527588,0.0005219063605181873,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.023250969126820564,25.752084970474243,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.0018064682371914387,34.01853966712952,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,929.0,22.309762954711914,-0.001500018173828721,"[8, 4, 3]",1.8718467950820923,400
Energy_Bond_LJ,CG_Bond_LJ0.33_n400_d3,-0.0017859459621831775,29.73324203491211,,0.01,0.01,0.1,40,1e-06,40.0,9.999999999999999e-06,1235.0,23.554059743881226,-0.00020759442122653127,,1.8718467950820923,400
Energy_Bond_LJ,Bond_LJ_n400_d3,-0.02322080358862877,19.935399770736694,,0.01,,0.1,40,1e-06,,,,,,,1.8718467950820923,400
Energy_Bond_LJ,GNN_Bond_LJ0.33_n400_d3,-0.023229213431477547,21.955945253372192,133.0,0.01,0.001,0.1,40,1e-06,40.0,9.999999999999999e-06,775.0,18.544522762298584,-0.023200953379273415,"[32, 16, 3]",1.8718467950820923,400
